;ESTADO;REGIAO;N;NE;CO;SE;S;IDHM;GINI;PIB;PARTIDO;POPULACAO;QUANTPRESOS;TAXAENCARCERAMENTO;IDHMRENDA2010;IDHMEDUCACAO2010;TAXAANALFABETISMO;JOVEMENC;NAOJOVEMENC;TAXAENCJOVENS;TAXAENCBRANCOS;TAXAENCNEGROS;DESEMPREGO;MULHERENC;HOMEMENC;QUANTPOLICIAIS;JOVENSTOTAL;NEGROSTOTAL;TXHOMI;TRAFABS;TRAF.;X.JOV;X.NEP;X.NEG;X.POPURB;TAXPOL;TAXDES;PIBCAP;TXJOV;TXNEP;TXN;TXPOPURB;VDILMA;VSERRA;HOMI.100;TRAF.100;FUNDINC;FUNDINC.100;H.100;FRONT;NFRONT;BRAN.100;MIGEST;MIGESTCID;DESARM;EVA;PIBBRASIL;PT;PSDB;TXEVA
1;ACRE;NORTE;1;0;0;0;0;663;452;9629;PT;735793;3545;482;0.67;0.56;10.19;2307;1173;403;163;542;26000;210;3335;2712;304;46;27.5;336;45.0;28.91;70.72;6.06;72.56;0.368581925;0.035336025;1308656103;0.2891;0.7072;0.0606;0.7256;0;1;275;450;27.77;0.2777;0.5021;1;0;0.2358;0.1565;0.3115;0.8376;32.66;0.00219;1;0;0.3266
2;ALAGOAS;NORDESTE;0;1;0;0;0;631;456;29545;PSDB;3125343;4153;133;0.64;0.52;17.79;2283;1870;134;109;144;138000;225;3928;7135;1233;194;64.6;645;20.5;26.96;71.77;5.91;73.64;0.228294942;0.044155154;9453362399;0.2696;0.7177;0.0591;0.7364;1;0;646;205;33.46;0.3346;0.4845;0;1;0.2802;0.1222;0.2692;0.5486;15.91;0.00673;0;1;0.1591
3;AMAPA;NORTE;1;0;0;0;0;708;455;10420;PSB;693434;2045;295;0.69;0.63;26.09;1503;493;188;82;195;38000;111;1934;3700;294;57;35.9;4;0.6;28.59;81.58;7.87;89.77;0.533576375;0.054799736;150266644;0.2859;0.8158;0.0787;0.8977;1;0;359;6;24.44;0.2444;0.5006;1;0;0.1801;0.74;0.3630;0.6916;27.95;0.01460;0;0;0.2795
4;AMAZONAS;NORTE;1;0;0;0;0;674;478;64120;PMN;3409492;6814;200;0.68;0.56;10.47;3800;2070;149;416;225;137000;623;6191;9050;1409;137;36.7;1324;37.4;27.2;75.18;3.65;79.09;0.265435437;0.040181939;1880632071;0.2720;0.7518;0.0365;0.7909;1;0;367;374;27.44;0.2744;0.5032;1;0;0.2135;0.2877;0.2896;0.7348;31.16;0.00237;0;0;0.3116
5;BAHIA;NORDESTE;0;1;0;0;0;660;559;167727;PT;13986692;10251;73;0.66;0.56;9.09;6125;4120;61;49;79;763000;581;9670;31039;5211;2609;41.9;3767;27.5;25.37;79.24;17.42;72.07;0.221918092;0.054551855;1199189916;0.2537;0.7924;0.1742;0.7207;1;0;419;275;31.42;0.3142;0.4907;0;1;0.2017;0.1386;0.2704;0.5545;17.41;0.03819;1;0;0.1741
6;CEARA;NORDESTE;0;1;0;0;0;682;487;90132;PSB;8523175;17622;207;0.65;0.62;17.73;7316;6827;169;68;171;27000;760;16862;15926;3221;335;44.6;3035;35.6;26.83;67.81;3.83;75.09;0.186855251;0.003167834;1057493246;0.2683;0.6781;0.0383;0.7509;1;0;446;356;28.84;0.2884;0.4874;0;1;0.3190;0.66;0.2719;0.5470;14.63;0.02052;0;0;0.1463
7;DISTRITO FEDERAL;CENTROOESTE;0;0;1;0;0;824;570;171236;PT;2621853;11399;435;0.86;0.74;20.14;5557;4669;356;123;379;128000;641;10758;14345;959;217;38.9;2072;79.4;26.83;58.71;7.92;96.58;0.547132124;0.048820433;6531106054;0.2683;0.5871;0.0792;0.9658;0;1;389;794;17.45;0.1745;0.4781;0;1;0.4043;0.0527;0.4873;0.5683;26.88;0.03899;1;0;0.2688
8;ESPIRITO SANTO;SUDESTE;0;0;0;1;0;740;453;107329;PSB;3567263;14733;413;0.74;0.65;3.66;9260;5286;287;204;551;132000;1343;13390;8491;1223;352;47.3;2513;70.8;24.03;59.7;9.25;83.4;0.238025624;0.037003159;3008721252;0.2403;0.5970;0.0925;0.8340;0;1;473;708;27.75;0.2775;0.4925;0;1;0.3981;0.4852;0.4231;0.5638;33.12;0.02444;0;0;0.3312
9;GOIAS;CENTROOESTE;0;0;1;0;0;735;458;123926;PSDB;6087725;11218;184;0.74;0.65;8.62;6744;4308;139;100;238;165000;599;10619;11950;2169;394;44.3;1771;29.1;25.36;59.93;6.2;90.29;0.196296646;0.027103721;203567014;0.2536;0.5993;0.0620;0.9029;0;1;443;291;25.76;0.2576;0.4966;0;1;0.3963;0.2011;0.4870;0.6790;28.08;0.02822;0;1;0.2808
10;MARANHAO;NORDESTE;0;1;0;0;0;639;545;58820;PMDB;6642466;4241;64;0.61;0.56;8.46;2667;1630;59;76;60;202000;207;4034;7709;2440;697;26.0;482;7.3;26.39;78.44;10.33;63.08;0.116056296;0.030410393;8855145062;0.2639;0.7844;0.1033;0.6308;1;0;260;73;32.33;0.3233;0.4961;0;1;0.2107;0.2921;0.2946;0.6113;17.19;0.01339;0;0;0.1719
11;MATO GROSSO;CENTROOESTE;0;0;1;0;0;725;466;80830;PMDB;3059923;10613;347;0.73;0.64;22.51;6266;4470;463;203;428;72000;683;9930;6579;1094;284;34.3;1585;64.0;25.64;61.01;9.01;81.8;0.21500541;0.023530004;2641569739;0.2564;0.6101;0.0901;0.8180;0;1;343;64;24.88;0.2488;0.5105;1;0;0.3809;0.0713;0.5547;0.6128;24.55;0.09188;0;1;0.2455
12;MATO GROSSO DO SUL;CENTROOESTE;0;0;1;0;0;729;491;54471;PMDB;2415761;11298;468;0.74;0.63;8.83;5604;5731;191;315;593;62000;1082;10216;5255;912;137;27.1;1282;41.7;26.56;49.8;5.35;85.64;0.217529797;0.025664791;2254817426;0.2656;0.4980;0.0535;0.8564;0;1;271;417;27.32;0.2732;0.4981;1;0;0.4874;0.3617;0.4609;0.7333;26.49;0.01240;0;0;0.2649
13;MINAS GERAIS;SUDESTE;0;0;0;1;0;731;474;403551;PSDB;19708802;45540;231;0.73;0.64;8.21;25397;20070;300;154;277;644000;2638;42902;42115;6745;1931;22.8;20730;105.1;24.34;55.66;9.43;85.29;0.21368625;0.032675756;2047567376;0.2434;0.5566;0.0943;0.8529;1;0;228;1051;32.31;0.3231;0.4920;0;1;0.4386;0.2841;0.3189;0.7689;20.19;0.01840;0;0;0.2019
14;PARA;NORTE;1;0;0;0;0;646;472;91009;PSDB;7752261;10989;142;0.65;0.53;9.07;6387;4185;132;72;157;239000;747;10242;15943;2941;532;41.7;3830;49.8;27.48;79.7;6.75;68.48;0.205656131;0.030829715;1173967182;0.2748;0.7970;0.0675;0.6848;1;0;417;498;35.6;0.3560;0.5041;0;1;0.1962;0.87;0.3444;0.6712;26.73;0.02072;0;1;0.2673
15;PARAIBA;NORDESTE;0;1;0;0;0;658;514;38731;PSB;3757608;8723;232;0.66;0.56;12.58;4380;3140;168;85;275;149000;574;8149;9263;1368;219;32.7;574;15.1;25.83;65.15;5.62;75.37;0.246513207;0.039652886;103073551;0.2583;0.6515;0.0562;0.7537;1;0;327;151;33.13;0.3313;0.4844;0;1;0.3386;0.1539;0.2643;0.6314;15.16;0.00882;0;0;0.1516
16;PARANA;SUL;0;0;0;0;1;749;461;255927;PSDB;10473331;22022;210;0.76;0.67;23.39;11403;10690;292;197;236;247000;1259;20763;17465;3535;347;40.1;5450;51.8;23.95;29.9;3.17;85.33;0.16675688;0.02358371;2443606528;0.2395;0.2990;0.0317;0.8533;0;1;401;518;27.57;0.2757;0.4913;1;0;0.6870;0.0892;0.4320;0.5449;22.18;0.02672;0;0;0.2218
17;PERNAMBUCO;NORDESTE;0;1;0;0;0;673;463;117340;PSB;8828289;28769;326;0.67;0.57;19.12;16027;12601;84;166;391;355000;1909;26860;19348;3064;567;37.1;4157;46.9;24.76;64.86;6.2;80.17;0.219159115;0.040211642;1329136371;0.2476;0.6486;0.0620;0.8017;1;0;371;469;28.89;0.2889;0.4810;0;1;0.3447;0.1769;0.2837;0.6291;20.34;0.00586;0;0;0.2034
18;PIAUI;NORDESTE;0;1;0;0;0;646;566;25721;PSB;3096476;2927;95;0.64;0.55;24.55;1679;1248;192;47;108;98000;116;2811;53335;1183;220;17.2;275;8.8;27.23;76.23;6.93;65.77;0.1722441898;0.031648881;8306539434;0.2723;0.7623;0.0693;0.6577;1;0;172;88;34.79;0.3479;0.4901;0;1;0.2372;0.0736;0.2445;0.7315;9.72;0.05827;0;1;0.0972
19;RIO DE JANEIRO;SUDESTE;0;0;0;1;0;761;489;504221;PMDB;16176037;30906;191;0.78;0.68;6.69;16641;14155;157;111;242;535000;1685;29221;46135;4903;2460;28.3;4618;28.7;22.25;52.74;15.09;96.71;0.285205826;0.033073614;3117086095;0.2225;0.5274;0.1509;0.9671;1;0;283;287;23.97;0.2397;0.4769;0;1;0.4676;0.0976;0.3117;0.6189;29.37;0.11480;0;0;0.2937
20;RIO GRANDE DO NORTE;NORDESTE;0;1;0;0;0;684;521;39544;PSD;3208231;5845;182;0.68;0.6;4.47;2772;1823;117;101;170;167000;393;5452;8926;1240;176;34.7;591;18.7;27.62;55.26;5.27;77.81;0.278221861;0.052053608;1232579574;0.2762;0.5526;0.0527;0.7781;1;0;347;187;29.92;0.2992;0.4889;0;1;0.4444;0.1572;0.3330;0.6198;15.4;0.09000;0;0;0.1540
21;RIO GRANDE DO SUL;SUL;0;0;0;0;1;746;465;277658;PT;10728760;29243;273;0.77;0.64;19.74;3822;2558;354;216;508;252000;631;6817;20405;3501;630;21.9;8524;79.4;23.01;19.39;5.66;85.1;0.190189733;0.023488269;258797848;0.2301;0.1939;0.0566;0.8510;0;1;219;794;33.13;0.3313;0.4867;1;0;0.8026;0.1115;0.3713;0.7828;18.32;0.00669;0;0;0.1832
22;RONDONIA;NORTE;1;0;0;0;0;690;442;29362;PMDB;1563571;7448;476;0.71;0.58;9.42;734;1035;572;232;464;44000;184;1585;5200;634;113;32.9;1335;84.7;27.42;64.01;6.58;73.55;0.332572042;0.028140711;1877880825;0.2742;0.6401;0.0658;0.7355;0;1;329;847;31.13;0.3113;0.5089;1;0;0.3549;0.0366;0.5879;0.85;33.8;0.00167;0;1;0.3380
23;RORAIMA;NORTE;1;0;0;0;0;707;490;7314;PSDB;417074;1769;424;0.7;0.63;11.01;12975;16250;271;219;528;16000;1902;27341;1669;193;40;35.4;32;7.1;28.71;73.62;8.22;76.55;0.400168795;0.038362497;1753645636;0.2871;0.7362;0.0822;0.7655;0;1;354;71;21.66;0.2166;0.5080;1;0;0.2319;0.4543;0.5402;0.8683;30.3;0.06322;1;0;0.3030
24;SANTA CATARINA;SUL;0;0;0;0;1;774;436;177276;DEM;6386486;16311;255;0.77;0.7;4.75;8740;7287;216;185;566;92000;1154;15157;11560;2133;167;12.8;3830;60.6;24.35;15.24;2.55;83.99;0.181007208;0.014405418;2775798773;0.2435;0.1524;0.0255;0.8399;0;1;128;606;29.04;0.2904;0.4962;1;0;0.8451;0.4433;0.4177;0.7664;20.04;0.04036;0;0;0.2004
25;SAO PAULO;SUDESTE;0;0;0;1;0;783;474;1408904;PSDB;41537528;190828;459;0.79;0.72;4.37;92314;73917;327;288;595;1532000;11276;179552;89478;13626;2694;15.1;35584;85.6;23.81;36.12;6.21;95.94;0.215414841;0.03688231;3391882155;0.2381;0.3612;0.0621;0.9594;0;1;151;856;23.27;0.2327;0.4866;0;1;0.6255;0.1717;0.4308;0.6288;24.08;0.00633;1;0;0.2408
26;SERGIPE;NORDESTE;0;1;0;0;0;665;562;27823;PT;2092511;4130;197;0.67;0.56;19.72;2499;1485;153;83;231;97000;200;3930;4660;818;192;41.8;14;0.7;27.45;76.5;8.82;73.52;0.222698949;0.04635579;1329646535;0.2745;0.7650;0.0882;0.7352;1;0;418;7;34.16;0.3416;0.4860;0;1;0.2323;0.2304;0.2937;0.5955;11.77;0.32078;0;1;0.1177
27;TOCANTINS;CENTROOESTE;0;0;1;0;0;699;500;19530;PSDB;1386343;2100;151;0.69;0.62;4.53;1154;946;151;104;167;51000;91;2009;3855;512;115;26.2;410;29.3;25.38;76.48;7.87;78.8;0.278069713;0.036787433;1408742281;0.2538;0.7648;0.0787;0.7880;1;0;262;293;28.45;0.2845;0.5077;0;1;0.2311;0.1155;0.5056;0.7599;23.04;0.00445;0;0;0.2304
